East,South,Length,Width,Segment,Location,Area,artifact,count
901.39,75.07,12,12,2,Outside,144,Points,0
901.39,75.07,12,12,2,Outside,144,Abraders,1
901.39,75.07,12,12,2,Outside,144,Discs,0
901.39,75.07,12,12,2,Outside,144,Earplugs,0
901.39,75.07,12,12,2,Outside,144,Effigies,0
901.39,75.07,12,12,2,Outside,144,Ceramics,0
901.39,75.07,12,12,2,Outside,144,total,1
973.01,81.33,16,16,2,Outside,256,Points,0
973.01,81.33,16,16,2,Outside,256,Abraders,0
973.01,81.33,16,16,2,Outside,256,Discs,0
973.01,81.33,16,16,2,Outside,256,Earplugs,0
973.01,81.33,16,16,2,Outside,256,Effigies,1
973.01,81.33,16,16,2,Outside,256,Ceramics,0
973.01,81.33,16,16,2,Outside,256,total,1
889.71,163.21,17,18,1,Inside,306,Points,1
889.71,163.21,17,18,1,Inside,306,Abraders,0
889.71,163.21,17,18,1,Inside,306,Discs,1
889.71,163.21,17,18,1,Inside,306,Earplugs,0
889.71,163.21,17,18,1,Inside,306,Effigies,1
889.71,163.21,17,18,1,Inside,306,Ceramics,1
889.71,163.21,17,18,1,Inside,306,total,4
924.16,193.1,21,21.5,1,Inside,451.5,Points,2
924.16,193.1,21,21.5,1,Inside,451.5,Abraders,1
924.16,193.1,21,21.5,1,Inside,451.5,Discs,1
924.16,193.1,21,21.5,1,Inside,451.5,Earplugs,1
924.16,193.1,21,21.5,1,Inside,451.5,Effigies,0
924.16,193.1,21,21.5,1,Inside,451.5,Ceramics,5
924.16,193.1,21,21.5,1,Inside,451.5,total,10
911.9,216.55,20.5,20,1,Inside,410,Points,3
911.9,216.55,20.5,20,1,Inside,410,Abraders,2
911.9,216.55,20.5,20,1,Inside,410,Discs,2
911.9,216.55,20.5,20,1,Inside,410,Earplugs,1
911.9,216.55,20.5,20,1,Inside,410,Effigies,0
911.9,216.55,20.5,20,1,Inside,410,Ceramics,4
911.9,216.55,20.5,20,1,Inside,410,total,12
939.73,250.75,16.5,16,1,Inside,264,Points,0
939.73,250.75,16.5,16,1,Inside,264,Abraders,0
939.73,250.75,16.5,16,1,Inside,264,Discs,0
939.73,250.75,16.5,16,1,Inside,264,Earplugs,0
939.73,250.75,16.5,16,1,Inside,264,Effigies,0
939.73,250.75,16.5,16,1,Inside,264,Ceramics,0
939.73,250.75,16.5,16,1,Inside,264,total,0
948.29,229.06,18,19,1,Inside,342,Points,5
948.29,229.06,18,19,1,Inside,342,Abraders,0
948.29,229.06,18,19,1,Inside,342,Discs,5
948.29,229.06,18,19,1,Inside,342,Earplugs,0
948.29,229.06,18,19,1,Inside,342,Effigies,0
948.29,229.06,18,19,1,Inside,342,Ceramics,4
948.29,229.06,18,19,1,Inside,342,total,14
962.5,211.67,21,19,1,Inside,399,Points,13
962.5,211.67,21,19,1,Inside,399,Abraders,0
962.5,211.67,21,19,1,Inside,399,Discs,0
962.5,211.67,21,19,1,Inside,399,Earplugs,2
962.5,211.67,21,19,1,Inside,399,Effigies,2
962.5,211.67,21,19,1,Inside,399,Ceramics,12
962.5,211.67,21,19,1,Inside,399,total,29
979.24,194.28,7.5,8,2,Outside,60,Points,0
979.24,194.28,7.5,8,2,Outside,60,Abraders,0
979.24,194.28,7.5,8,2,Outside,60,Discs,0
979.24,194.28,7.5,8,2,Outside,60,Earplugs,0
979.24,194.28,7.5,8,2,Outside,60,Effigies,0
979.24,194.28,7.5,8,2,Outside,60,Ceramics,0
979.24,194.28,7.5,8,2,Outside,60,total,0
991.69,153.24,19,15.5,2,Outside,217,Points,1
991.69,153.24,19,15.5,2,Outside,217,Abraders,0
991.69,153.24,19,15.5,2,Outside,217,Discs,0
991.69,153.24,19,15.5,2,Outside,217,Earplugs,0
991.69,153.24,19,15.5,2,Outside,217,Effigies,1
991.69,153.24,19,15.5,2,Outside,217,Ceramics,0
991.69,153.24,19,15.5,2,Outside,217,total,2
982.35,175.13,17.5,17,2,Outside,297.5,Points,2
982.35,175.13,17.5,17,2,Outside,297.5,Abraders,0
982.35,175.13,17.5,17,2,Outside,297.5,Discs,1
982.35,175.13,17.5,17,2,Outside,297.5,Earplugs,0
982.35,175.13,17.5,17,2,Outside,297.5,Effigies,0
982.35,175.13,17.5,17,2,Outside,297.5,Ceramics,0
982.35,175.13,17.5,17,2,Outside,297.5,total,3
989.16,250.17,13,10.5,3,Outside,136.5,Points,0
989.16,250.17,13,10.5,3,Outside,136.5,Abraders,0
989.16,250.17,13,10.5,3,Outside,136.5,Discs,0
989.16,250.17,13,10.5,3,Outside,136.5,Earplugs,0
989.16,250.17,13,10.5,3,Outside,136.5,Effigies,0
989.16,250.17,13,10.5,3,Outside,136.5,Ceramics,0
989.16,250.17,13,10.5,3,Outside,136.5,total,0
998.31,211.08,13.5,12,3,Outside,162,Points,0
998.31,211.08,13.5,12,3,Outside,162,Abraders,0
998.31,211.08,13.5,12,3,Outside,162,Discs,1
998.31,211.08,13.5,12,3,Outside,162,Earplugs,0
998.31,211.08,13.5,12,3,Outside,162,Effigies,0
998.31,211.08,13.5,12,3,Outside,162,Ceramics,0
998.31,211.08,13.5,12,3,Outside,162,total,1
994.03,228.47,13,13,3,Outside,NA,Points,0
994.03,228.47,13,13,3,Outside,NA,Abraders,0
994.03,228.47,13,13,3,Outside,NA,Discs,1
994.03,228.47,13,13,3,Outside,NA,Earplugs,0
994.03,228.47,13,13,3,Outside,NA,Effigies,0
994.03,228.47,13,13,3,Outside,NA,Ceramics,2
994.03,228.47,13,13,3,Outside,NA,total,3
765.34,297.26,16.5,17,1,Inside,280.5,Points,3
765.34,297.26,16.5,17,1,Inside,280.5,Abraders,1
765.34,297.26,16.5,17,1,Inside,280.5,Discs,2
765.34,297.26,16.5,17,1,Inside,280.5,Earplugs,1
765.34,297.26,16.5,17,1,Inside,280.5,Effigies,0
765.34,297.26,16.5,17,1,Inside,280.5,Ceramics,1
765.34,297.26,16.5,17,1,Inside,280.5,total,8
786.94,255.64,21,20.5,1,Inside,430.5,Points,8
786.94,255.64,21,20.5,1,Inside,430.5,Abraders,1
786.94,255.64,21,20.5,1,Inside,430.5,Discs,7
786.94,255.64,21,20.5,1,Inside,430.5,Earplugs,NA
786.94,255.64,21,20.5,1,Inside,430.5,Effigies,1
786.94,255.64,21,20.5,1,Inside,430.5,Ceramics,10
786.94,255.64,21,20.5,1,Inside,430.5,total,27
796.29,228.47,19,19,1,Inside,361,Points,7
796.29,228.47,19,19,1,Inside,361,Abraders,1
796.29,228.47,19,19,1,Inside,361,Discs,11
796.29,228.47,19,19,1,Inside,361,Earplugs,1
796.29,228.47,19,19,1,Inside,361,Effigies,0
796.29,228.47,19,19,1,Inside,361,Ceramics,18
796.29,228.47,19,19,1,Inside,361,total,38
809.33,204.24,20,19,1,Inside,380,Points,6
809.33,204.24,20,19,1,Inside,380,Abraders,7
809.33,204.24,20,19,1,Inside,380,Discs,4
809.33,204.24,20,19,1,Inside,380,Earplugs,0
809.33,204.24,20,19,1,Inside,380,Effigies,0
809.33,204.24,20,19,1,Inside,380,Ceramics,14
809.33,204.24,20,19,1,Inside,380,total,31
835.8,184.31,19,18,1,Inside,342,Points,2
835.8,184.31,19,18,1,Inside,342,Abraders,1
835.8,184.31,19,18,1,Inside,342,Discs,3
835.8,184.31,19,18,1,Inside,342,Earplugs,0
835.8,184.31,19,18,1,Inside,342,Effigies,1
835.8,184.31,19,18,1,Inside,342,Ceramics,10
835.8,184.31,19,18,1,Inside,342,total,17
844.55,165.75,15,16,1,Inside,240,Points,2
844.55,165.75,15,16,1,Inside,240,Abraders,1
844.55,165.75,15,16,1,Inside,240,Discs,2
844.55,165.75,15,16,1,Inside,240,Earplugs,1
844.55,165.75,15,16,1,Inside,240,Effigies,1
844.55,165.75,15,16,1,Inside,240,Ceramics,4
844.55,165.75,15,16,1,Inside,240,total,11
867.91,203.66,21,20,1,Inside,420,Points,7
867.91,203.66,21,20,1,Inside,420,Abraders,1
867.91,203.66,21,20,1,Inside,420,Discs,3
867.91,203.66,21,20,1,Inside,420,Earplugs,2
867.91,203.66,21,20,1,Inside,420,Effigies,2
867.91,203.66,21,20,1,Inside,420,Ceramics,20
867.91,203.66,21,20,1,Inside,420,total,35
877.25,180.6,18,20.5,1,Inside,369,Points,3
877.25,180.6,18,20.5,1,Inside,369,Abraders,0
877.25,180.6,18,20.5,1,Inside,369,Discs,2
877.25,180.6,18,20.5,1,Inside,369,Earplugs,1
877.25,180.6,18,20.5,1,Inside,369,Effigies,0
877.25,180.6,18,20.5,1,Inside,369,Ceramics,3
877.25,180.6,18,20.5,1,Inside,369,total,9
825.87,142.69,12,12,2,Outside,144,Points,1
825.87,142.69,12,12,2,Outside,144,Abraders,1
825.87,142.69,12,12,2,Outside,144,Discs,0
825.87,142.69,12,12,2,Outside,144,Earplugs,0
825.87,142.69,12,12,2,Outside,144,Effigies,0
825.87,142.69,12,12,2,Outside,144,Ceramics,2
825.87,142.69,12,12,2,Outside,144,total,4
813.03,158.32,14,14.5,2,Outside,203,Points,1
813.03,158.32,14,14.5,2,Outside,203,Abraders,0
813.03,158.32,14,14.5,2,Outside,203,Discs,0
813.03,158.32,14,14.5,2,Outside,203,Earplugs,1
813.03,158.32,14,14.5,2,Outside,203,Effigies,0
813.03,158.32,14,14.5,2,Outside,203,Ceramics,4
813.03,158.32,14,14.5,2,Outside,203,total,6
800.57,177.47,14.5,15,2,Outside,217.5,Points,2
800.57,177.47,14.5,15,2,Outside,217.5,Abraders,0
800.57,177.47,14.5,15,2,Outside,217.5,Discs,0
800.57,177.47,14.5,15,2,Outside,217.5,Earplugs,0
800.57,177.47,14.5,15,2,Outside,217.5,Effigies,0
800.57,177.47,14.5,15,2,Outside,217.5,Ceramics,1
800.57,177.47,14.5,15,2,Outside,217.5,total,3
935.45,451.83,10,12,3,Outside,120,Points,0
935.45,451.83,10,12,3,Outside,120,Abraders,5
935.45,451.83,10,12,3,Outside,120,Discs,0
935.45,451.83,10,12,3,Outside,120,Earplugs,0
935.45,451.83,10,12,3,Outside,120,Effigies,0
935.45,451.83,10,12,3,Outside,120,Ceramics,0
935.45,451.83,10,12,3,Outside,120,total,5
953.35,407.67,11.5,12.5,3,Outside,143.75,Points,1
953.35,407.67,11.5,12.5,3,Outside,143.75,Abraders,0
953.35,407.67,11.5,12.5,3,Outside,143.75,Discs,0
953.35,407.67,11.5,12.5,3,Outside,143.75,Earplugs,1
953.35,407.67,11.5,12.5,3,Outside,143.75,Effigies,0
953.35,407.67,11.5,12.5,3,Outside,143.75,Ceramics,1
953.35,407.67,11.5,12.5,3,Outside,143.75,total,3
959.39,385.39,14,14,3,Outside,196,Points,2
959.39,385.39,14,14,3,Outside,196,Abraders,0
959.39,385.39,14,14,3,Outside,196,Discs,1
959.39,385.39,14,14,3,Outside,196,Earplugs,0
959.39,385.39,14,14,3,Outside,196,Effigies,0
959.39,385.39,14,14,3,Outside,196,Ceramics,1
959.39,385.39,14,14,3,Outside,196,total,4
967.56,365.66,16.5,15,3,Outside,247.5,Points,0
967.56,365.66,16.5,15,3,Outside,247.5,Abraders,0
967.56,365.66,16.5,15,3,Outside,247.5,Discs,0
967.56,365.66,16.5,15,3,Outside,247.5,Earplugs,0
967.56,365.66,16.5,15,3,Outside,247.5,Effigies,0
967.56,365.66,16.5,15,3,Outside,247.5,Ceramics,0
967.56,365.66,16.5,15,3,Outside,247.5,total,0
1017.58,274.98,16.5,14.5,3,Outside,239.25,Points,NA
1017.58,274.98,16.5,14.5,3,Outside,239.25,Abraders,NA
1017.58,274.98,16.5,14.5,3,Outside,239.25,Discs,0
1017.58,274.98,16.5,14.5,3,Outside,239.25,Earplugs,NA
1017.58,274.98,16.5,14.5,3,Outside,239.25,Effigies,1
1017.58,274.98,16.5,14.5,3,Outside,239.25,Ceramics,0
1017.58,274.98,16.5,14.5,3,Outside,239.25,total,1
1026.14,256.42,12,11.5,3,Outside,138,Points,2
1026.14,256.42,12,11.5,3,Outside,138,Abraders,0
1026.14,256.42,12,11.5,3,Outside,138,Discs,0
1026.14,256.42,12,11.5,3,Outside,138,Earplugs,0
1026.14,256.42,12,11.5,3,Outside,138,Effigies,0
1026.14,256.42,12,11.5,3,Outside,138,Ceramics,0
1026.14,256.42,12,11.5,3,Outside,138,total,2
1047.94,216.55,10,11,2,Outside,110,Points,0
1047.94,216.55,10,11,2,Outside,110,Abraders,1
1047.94,216.55,10,11,2,Outside,110,Discs,0
1047.94,216.55,10,11,2,Outside,110,Earplugs,0
1047.94,216.55,10,11,2,Outside,110,Effigies,0
1047.94,216.55,10,11,2,Outside,110,Ceramics,0
1047.94,216.55,10,11,2,Outside,110,total,1
1057.09,196.82,9,10,2,Outside,90,Points,1
1057.09,196.82,9,10,2,Outside,90,Abraders,0
1057.09,196.82,9,10,2,Outside,90,Discs,0
1057.09,196.82,9,10,2,Outside,90,Earplugs,0
1057.09,196.82,9,10,2,Outside,90,Effigies,0
1057.09,196.82,9,10,2,Outside,90,Ceramics,1
1057.09,196.82,9,10,2,Outside,90,total,2
1018.16,200.53,16,16,2,Outside,256,Points,0
1018.16,200.53,16,16,2,Outside,256,Abraders,0
1018.16,200.53,16,16,2,Outside,256,Discs,0
1018.16,200.53,16,16,2,Outside,256,Earplugs,0
1018.16,200.53,16,16,2,Outside,256,Effigies,0
1018.16,200.53,16,16,2,Outside,256,Ceramics,0
1018.16,200.53,16,16,2,Outside,256,total,0
932.92,359.99,14,14,3,Outside,196,Points,0
932.92,359.99,14,14,3,Outside,196,Abraders,0
932.92,359.99,14,14,3,Outside,196,Discs,0
932.92,359.99,14,14,3,Outside,196,Earplugs,0
932.92,359.99,14,14,3,Outside,196,Effigies,0
932.92,359.99,14,14,3,Outside,196,Ceramics,0
932.92,359.99,14,14,3,Outside,196,total,0
922.41,384.22,15,15,3,Outside,225,Points,1
922.41,384.22,15,15,3,Outside,225,Abraders,1
922.41,384.22,15,15,3,Outside,225,Discs,0
922.41,384.22,15,15,3,Outside,225,Earplugs,0
922.41,384.22,15,15,3,Outside,225,Effigies,0
922.41,384.22,15,15,3,Outside,225,Ceramics,0
922.41,384.22,15,15,3,Outside,225,total,2
908.2,405.33,14,15,3,Outside,210,Points,3
908.2,405.33,14,15,3,Outside,210,Abraders,0
908.2,405.33,14,15,3,Outside,210,Discs,0
908.2,405.33,14,15,3,Outside,210,Earplugs,0
908.2,405.33,14,15,3,Outside,210,Effigies,0
908.2,405.33,14,15,3,Outside,210,Ceramics,0
908.2,405.33,14,15,3,Outside,210,total,3
898.27,425.06,16,16,3,Outside,256,Points,1
898.27,425.06,16,16,3,Outside,256,Abraders,0
898.27,425.06,16,16,3,Outside,256,Discs,0
898.27,425.06,16,16,3,Outside,256,Earplugs,0
898.27,425.06,16,16,3,Outside,256,Effigies,0
898.27,425.06,16,16,3,Outside,256,Ceramics,2
898.27,425.06,16,16,3,Outside,256,total,3
854.48,397.9,18.5,19.5,1,Inside,360.75,Points,2
854.48,397.9,18.5,19.5,1,Inside,360.75,Abraders,0
854.48,397.9,18.5,19.5,1,Inside,360.75,Discs,0
854.48,397.9,18.5,19.5,1,Inside,360.75,Earplugs,3
854.48,397.9,18.5,19.5,1,Inside,360.75,Effigies,1
854.48,397.9,18.5,19.5,1,Inside,360.75,Ceramics,1
854.48,397.9,18.5,19.5,1,Inside,360.75,total,7
864.8,376.21,18,18,1,Inside,324,Points,0
864.8,376.21,18,18,1,Inside,324,Abraders,0
864.8,376.21,18,18,1,Inside,324,Discs,0
864.8,376.21,18,18,1,Inside,324,Earplugs,0
864.8,376.21,18,18,1,Inside,324,Effigies,0
864.8,376.21,18,18,1,Inside,324,Ceramics,0
864.8,376.21,18,18,1,Inside,324,total,0
894.57,356.28,14.5,14.5,1,Inside,210.25,Points,3
894.57,356.28,14.5,14.5,1,Inside,210.25,Abraders,0
894.57,356.28,14.5,14.5,1,Inside,210.25,Discs,0
894.57,356.28,14.5,14.5,1,Inside,210.25,Earplugs,0
894.57,356.28,14.5,14.5,1,Inside,210.25,Effigies,1
894.57,356.28,14.5,14.5,1,Inside,210.25,Ceramics,0
894.57,356.28,14.5,14.5,1,Inside,210.25,total,4
898.27,330.29,14,16,1,Inside,224,Points,2
898.27,330.29,14,16,1,Inside,224,Abraders,0
898.27,330.29,14,16,1,Inside,224,Discs,0
898.27,330.29,14,16,1,Inside,224,Earplugs,0
898.27,330.29,14,16,1,Inside,224,Effigies,0
898.27,330.29,14,16,1,Inside,224,Ceramics,2
898.27,330.29,14,16,1,Inside,224,total,4
NA,310.35,18.5,18,1,Inside,333,Points,1
NA,310.35,18.5,18,1,Inside,333,Abraders,0
NA,310.35,18.5,18,1,Inside,333,Discs,0
NA,310.35,18.5,18,1,Inside,333,Earplugs,0
NA,310.35,18.5,18,1,Inside,333,Effigies,0
NA,310.35,18.5,18,1,Inside,333,Ceramics,3
NA,310.35,18.5,18,1,Inside,333,total,4
913.65,289.25,18,24,1,Inside,432,Points,14
913.65,289.25,18,24,1,Inside,432,Abraders,2
913.65,289.25,18,24,1,Inside,432,Discs,5
913.65,289.25,18,24,1,Inside,432,Earplugs,2
913.65,289.25,18,24,1,Inside,432,Effigies,3
913.65,289.25,18,24,1,Inside,432,Ceramics,NA
913.65,289.25,18,24,1,Inside,432,total,26
866.74,288.08,20.5,16.5,1,Inside,338.25,Points,12
866.74,288.08,20.5,16.5,1,Inside,338.25,Abraders,0
866.74,288.08,20.5,16.5,1,Inside,338.25,Discs,1
866.74,288.08,20.5,16.5,1,Inside,338.25,Earplugs,0
866.74,288.08,20.5,16.5,1,Inside,338.25,Effigies,1
866.74,288.08,20.5,16.5,1,Inside,338.25,Ceramics,4
866.74,288.08,20.5,16.5,1,Inside,338.25,total,18
865.57,314.07,16,16,1,Inside,256,Points,2
865.57,314.07,16,16,1,Inside,256,Abraders,0
865.57,314.07,16,16,1,Inside,256,Discs,0
865.57,314.07,16,16,1,Inside,256,Earplugs,0
865.57,314.07,16,16,1,Inside,256,Effigies,2
865.57,314.07,16,16,1,Inside,256,Ceramics,1
865.57,314.07,16,16,1,Inside,256,total,5
859.35,336.34,18,17.5,1,Inside,315,Points,6
